# User:                           Version:                     Date:           Time:         

                                                                                                                                                               
CASE                                 1              2              3              4              5              6              7              8              9 
Valve1.Fl_O.gamt               2.52185        2.64381        2.78083        2.93200        3.09611        3.26720        3.44301        3.61557        3.73047 
Valve1.Fl_O.rhot             950.74370      916.18738      882.21596      848.34372      814.04142      778.87969      742.09241      702.53963      657.88988 
Valve2.Fl_I.Tt           -7.48872E-001        6.13612       12.56368       18.67372       24.59694       30.45153       36.39829       42.63219       49.49966 
Valve2.Fl_I.Pt                57.47237       67.05132       76.63027       86.20922       95.78817      105.36712      114.94607      124.52502      134.10264 
Valve2.Fl_I.ht           -3.01417E+005  -2.85669E+005  -2.70576E+005  -2.55860E+005  -2.41239E+005  -2.26459E+005  -2.11148E+005  -1.94801E+005  -1.76446E+005 
Valve2.Fl_I.s              -1731.98766    -1678.62144    -1628.96556    -1581.84334    -1536.15499    -1491.00153    -1445.17295    -1397.13168    -1344.04391 
Valve2.Fl_I.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Valve2.Fl_I.Cpt             2352.42370     2471.32935     2606.63005     2761.44303     2935.97235     3118.96756     3301.25003     3471.72993     3587.12196 
Valve2.Fl_I.gamt               2.52185        2.64381        2.78083        2.93200        3.09611        3.26720        3.44301        3.61557        3.73047 
Valve2.Fl_I.rhot             950.74370      916.18738      882.21596      848.34372      814.04142      778.87969      742.09241      702.53963      657.88988 
Valve2.Fl_O.Tt                -5.36528   3.55494E-001        5.50130       10.18810       14.49692       18.48632       22.19933       25.66680       28.90779 
Valve2.Fl_O.Pt                30.15467       35.18050       40.20633       45.23217       50.25800       55.28384       60.30968       65.33552       70.36068 
Valve2.Fl_O.ht           -3.01417E+005  -2.85669E+005  -2.70576E+005  -2.55860E+005  -2.41239E+005  -2.26459E+005  -2.11148E+005  -1.94801E+005  -1.76446E+005 
Valve2.Fl_O.s              -1721.09820    -1665.66891    -1613.82065    -1564.34731    -1516.10478    -1468.13546    -1419.12937    -1367.38336    -1309.72511 
Valve2.Fl_O.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
