# User:                           Version:                     Date:           Time:         

                                                                                                                                                               
CASE                                 1              2              3              4              5              6              7              8              9 
Valve1.Fl_I.rhot             965.19447      935.02815      906.17858      878.22998      850.69335      823.14748      794.82734      764.70628      730.70523 
Valve1.Fl_O.Tt           -7.48869E-001        6.13609       12.56380       18.67354       24.59712       30.45110       36.39842       42.63206       49.49931 
Valve1.Fl_O.Pt                57.47237       67.05132       76.63027       86.20922       95.78817      105.36712      114.94607      124.52502      134.10264 
Valve1.Fl_O.ht           -3.01417E+005  -2.85670E+005  -2.70575E+005  -2.55861E+005  -2.41238E+005  -2.26460E+005  -2.11148E+005  -1.94801E+005  -1.76447E+005 
Valve1.Fl_O.s              -1731.98763    -1678.62173    -1628.96445    -1581.84510    -1536.15329    -1491.00596    -1445.17153    -1397.13307    -1344.04776 
Valve1.Fl_O.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Valve1.Fl_O.Cpt             2352.42376     2471.32835     2606.63507     2761.43293     2935.98419     3118.93238     3301.26230     3471.71807     3587.09649 
Valve1.Fl_O.gamt               2.52185        2.64381        2.78084        2.93199        3.09612        3.26716        3.44302        3.61556        3.73045 
Valve1.Fl_O.rhot             950.74369      916.18759      882.21509      848.34518      814.03992      778.88380      742.09104      702.54102      657.89377 
Valve2.Fl_I.Tt           -7.48869E-001        6.13609       12.56380       18.67354       24.59712       30.45110       36.39842       42.63206       49.49931 
Valve2.Fl_I.Pt                57.47237       67.05132       76.63027       86.20922       95.78817      105.36712      114.94607      124.52502      134.10264 
Valve2.Fl_I.ht           -3.01417E+005  -2.85670E+005  -2.70575E+005  -2.55861E+005  -2.41238E+005  -2.26460E+005  -2.11148E+005  -1.94801E+005  -1.76447E+005 
Valve2.Fl_I.s              -1731.98763    -1678.62173    -1628.96445    -1581.84510    -1536.15329    -1491.00596    -1445.17153    -1397.13307    -1344.04776 
Valve2.Fl_I.W             4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001   4.53592E-001 
Valve2.Fl_I.Cpt             2352.42376     2471.32835     2606.63507     2761.43293     2935.98419     3118.93238     3301.26230     3471.71807     3587.09649 
Valve2.Fl_I.gamt               2.52185        2.64381        2.78084        2.93199        3.09612        3.26716        3.44302        3.61556        3.73045 
Valve2.Fl_I.rhot             950.74369      916.18759      882.21509      848.34518      814.03992      778.88380      742.09104      702.54102      657.89377 
Valve2.Fl_O.Tt                -5.17844   5.50110E-001        5.70276       10.39559       14.70969       18.70365       22.42042       25.89067       29.13288 
Valve2.Fl_O.Pt                30.30993       35.36164       40.41334       45.46505       50.51676       55.56848       60.62019       65.67192       70.72295 
Valve2.Fl_O.ht           -3.01417E+005  -2.85670E+005  -2.70575E+005  -2.55861E+005  -2.41238E+005  -2.26460E+005  -2.11148E+005  -1.94801E+005  -1.76447E+005 
Valve2.Fl_O.s              -1721.18155    -1665.76892    -1613.93638    -1564.48403    -1516.25713    -1468.31479    -1419.32519    -1367.60748    -1309.98129 
